id,correlation,n_items,capacity,greedy_profit,dp_profit,gap,greedy_time,dp_time,best_algorithm
101,uncorrelated,50,638,1398,1427,0.020322354590049056,7.579999510198832e-05,0.018819599994458258,dp
102,weak,100,3221,5557,5568,0.0019755747126436784,0.00011100003030151129,0.212706700025592,dp
103,strong,100,1794,4224,4258,0.007984969469234382,9.809999028220773e-05,0.11779230000684038,dp
104,strong,50,1932,4302,4332,0.006925207756232687,8.599995635449886e-05,0.06299290002789348,dp
105,inverse,50,1323,3050,3050,0.0,9.609997505322099e-05,0.04184019996318966,dp
106,weak,100,2418,4324,4326,0.0004623208506703652,0.00012809998588636518,0.15531609999015927,dp
107,strong,50,2125,4665,4682,0.003630926954293037,8.540000999346375e-05,0.06833709997590631,dp
108,strong,100,4476,9935,9946,0.0011059722501508143,0.0001235000090673566,0.2983000000240281,dp
109,weak,200,5674,10154,10166,0.0011804052724768838,0.00017099996330216527,0.7595263000112027,dp
110,weak,50,1567,2689,2703,0.005179430262671106,0.00011220003943890333,0.04983960004756227,dp
111,strong,50,1563,3478,3510,0.009116809116809116,0.00010689999908208847,0.04898210003739223,dp
112,inverse,100,2080,4960,4967,0.0014093013891685123,0.00010840001050382853,0.13701320003019646,dp
113,weak,50,1109,2151,2169,0.008298755186721992,8.200004231184721e-05,0.0356368999928236,dp
114,inverse,100,2570,4981,4981,0.0,0.00012609997065737844,0.16480349999619648,dp
115,strong,100,2054,4803,4810,0.0014553014553014554,0.00025459995958954096,0.13306859997101128,dp
116,uncorrelated,50,319,1206,1206,0.0,7.860001642256975e-05,0.009680100018158555,dp
117,uncorrelated,100,1869,3634,3634,0.0,0.00011490000179037452,0.12576750002335757,dp
118,strong,100,668,1727,1742,0.008610792192881744,0.00010360003216192126,0.0407563999760896,dp
119,strong,50,1030,2369,2370,0.0004219409282700422,7.589999586343765e-05,0.03391669999109581,dp
120,weak,50,1580,2482,2492,0.0040128410914927765,7.680000271648169e-05,0.05253360001370311,dp
121,strong,50,262,673,673,0.0,8.000002708286047e-05,0.007189400028437376,dp
122,inverse,200,7814,11828,11830,0.000169061707523246,0.00020059995586052537,1.0402493000146933,dp
123,weak,100,4469,6836,6847,0.0016065430115378997,0.00012019998393952847,0.295620399992913,dp
124,weak,200,1567,3873,3886,0.0033453422542460112,0.00013770000077784061,0.19997700001113117,dp
125,strong,50,989,2300,2326,0.01117798796216681,8.030002936720848e-05,0.029901400033850223,dp
126,inverse,50,463,1581,1581,0.0,5.989999044686556e-05,0.01331509998999536,dp
127,uncorrelated,50,685,1364,1368,0.0029239766081871343,6.210000719875097e-05,0.02132900001015514,dp
128,strong,50,467,1146,1185,0.03291139240506329,6.10999995842576e-05,0.013712499989196658,dp
129,strong,200,7309,16393,16439,0.0027982237362369974,0.00017249997472390532,0.9885343000059947,dp
130,weak,100,3295,5767,5773,0.0010393209769617184,0.00011780002387240529,0.23149320000084117,dp
131,strong,50,357,922,922,0.0,7.930002175271511e-05,0.00966300000436604,dp
132,strong,100,2752,6331,6343,0.0018918492826738137,7.579999510198832e-05,0.17915759998140857,dp
133,weak,100,4414,6830,6834,0.000585308750365818,0.0001333000254817307,0.29321340000024065,dp
134,inverse,50,978,2719,2720,0.0003676470588235294,8.239998714998364e-05,0.030698499991558492,dp
135,strong,50,1843,4194,4249,0.012944222169922335,8.030002936720848e-05,0.05960640002740547,dp
136,uncorrelated,50,1780,2394,2398,0.0016680567139282735,8.440000237897038e-05,0.058091300015803427,dp
137,weak,50,1219,2110,2112,0.000946969696969697,7.569999434053898e-05,0.03832350001903251,dp
138,strong,100,3549,7942,7968,0.003263052208835341,0.00010520004434511065,0.23563629999989644,dp
139,weak,100,1632,3239,3244,0.0015413070283600493,0.00010899995686486363,0.1056512999930419,dp
140,uncorrelated,50,1533,2242,2244,0.00089126559714795,8.440000237897038e-05,0.0518399000284262,dp
141,uncorrelated,50,1082,1862,1862,0.0,8.099997648969293e-05,0.0332100999657996,dp
142,uncorrelated,100,3647,5071,5071,0.0,0.0001058999914675951,0.24235850002150983,dp
143,strong,100,856,2197,2204,0.003176043557168784,0.00010140001541003585,0.05417760001728311,dp
144,uncorrelated,100,1743,3875,3875,0.0,0.00010609999299049377,0.11049250001087785,dp
145,inverse,100,1976,5210,5210,0.0,0.00011470000026747584,0.12591349997092038,dp
146,uncorrelated,50,1936,2451,2451,0.0,8.509994950145483e-05,0.06204689998412505,dp
147,uncorrelated,50,1703,2203,2205,0.0009070294784580499,7.529999129474163e-05,0.05647539999336004,dp
148,uncorrelated,50,557,1174,1181,0.0059271803556308214,7.090001599863172e-05,0.016982499975711107,dp
149,inverse,100,3780,6124,6124,0.0,0.00010460003977641463,0.255815300042741,dp
150,inverse,200,7355,12045,12048,0.000249003984063745,0.0001941000227816403,0.9851222000434063,dp
151,uncorrelated,100,1829,3273,3273,0.0,0.00011020002420991659,0.12547649996122345,dp
152,uncorrelated,100,4047,4813,4813,0.0,0.00011779996566474438,0.2583648000145331,dp
153,uncorrelated,50,1777,2125,2125,0.0,8.179998258128762e-05,0.05613059998722747,dp
154,uncorrelated,100,2264,3999,4009,0.002494387627837366,0.00010220002150163054,0.14472780004143715,dp
155,uncorrelated,100,2212,3759,3763,0.0010629816635663034,0.00011070002801716328,0.14192710001952946,dp
156,weak,200,2377,5239,5242,0.0005723006486074017,0.00015670002903789282,0.3085332000046037,dp
157,inverse,100,2597,5144,5147,0.0005828638041577618,0.00011510000331327319,0.16654710000148043,dp
158,strong,100,3889,8793,8793,0.0,0.00011950003681704402,0.25293800001963973,dp
159,inverse,200,4724,9719,9720,0.00010288065843621399,0.00018019997514784336,0.6140962999779731,dp
160,strong,50,1989,4431,4447,0.0035979311895659996,9.320001117885113e-05,0.06317249999847263,dp
161,inverse,50,1194,3100,3100,0.0,7.369997911155224e-05,0.0378772999974899,dp
162,uncorrelated,100,781,2121,2142,0.00980392156862745,0.00010160001693293452,0.04707149998284876,dp
163,uncorrelated,100,2269,3608,3608,0.0,0.00010169995948672295,0.14519329997710884,dp
164,strong,100,2600,5931,5937,0.001010611419909045,0.00011029996676370502,0.17052340001100674,dp
165,weak,50,968,1688,1709,0.012287887653598596,7.599999662488699e-05,0.029222700046375394,dp
166,uncorrelated,100,1788,3698,3705,0.0018893387314439945,0.00010430003749206662,0.11346409999532625,dp
167,inverse,50,1341,2781,2781,0.0,7.890001870691776e-05,0.04218409996246919,dp
168,inverse,50,1162,2724,2726,0.0007336757153338225,6.779999239370227e-05,0.03636720002396032,dp
169,uncorrelated,50,643,1419,1419,0.0,6.450002547353506e-05,0.019394500006455928,dp
170,weak,100,4097,6407,6431,0.003731923495568341,0.00010369997471570969,0.26630929997190833,dp
171,uncorrelated,50,2027,2081,2081,0.0,8.440000237897038e-05,0.06532759999390692,dp
172,strong,100,2754,6353,6363,0.0015715857300015717,0.0001162000116892159,0.1737241999944672,dp
173,weak,100,2447,4433,4439,0.0013516557783284523,0.00011160003487020731,0.15802209998946637,dp
174,inverse,200,8948,11628,11628,0.0,0.0001996000064536929,1.1838251000153832,dp
175,inverse,50,470,2085,2087,0.0009583133684714902,8.339999476447701e-05,0.013820599997416139,dp
176,weak,50,1910,3230,3234,0.0012368583797155227,6.560003384947777e-05,0.061564499977976084,dp
177,inverse,200,3860,9141,9141,0.0,0.00017519999528303742,0.5171823999844491,dp
178,strong,50,645,1548,1565,0.010862619808306708,8.069997420534492e-05,0.01973790000192821,dp
179,uncorrelated,100,2803,4071,4072,0.0002455795677799607,0.00010289996862411499,0.1871263000066392,dp
180,strong,200,4637,10712,10720,0.0007462686567164179,0.00029420002829283476,0.6379493999993429,dp
181,inverse,50,1235,2391,2391,0.0,8.159998105838895e-05,0.04363809997448698,dp
182,weak,100,1388,2868,2874,0.0020876826722338203,0.00010790000669658184,0.08902220003074035,dp
183,uncorrelated,200,4524,7938,7944,0.0007552870090634441,0.00017640000442042947,0.6033990000141785,dp
184,inverse,100,3765,5947,5948,0.00016812373907195696,0.0001086000120267272,0.2481312999734655,dp
185,inverse,200,6486,11774,11776,0.00016983695652173913,0.0001881999778561294,0.8582231000182219,dp
186,inverse,50,948,2600,2601,0.00038446751249519417,8.00999696366489e-05,0.029963399982079864,dp
