id,correlation,n_items,capacity,greedy_profit,dp_profit,gap,greedy_time,dp_time,best_algorithm
290,weak,100,3266,5638,5643,0.000886053517632465,0.00015790003817528486,0.21612270001787692,dp
291,inverse,100,1668,5208,5210,0.00038387715930902113,0.00011249998351559043,0.10674750001635402,dp
292,strong,200,5529,12712,12728,0.001257071024512885,0.0001781000173650682,0.7424537999904715,dp
293,weak,50,1507,2535,2556,0.008215962441314555,8.499994874000549e-05,0.04805590002797544,dp
294,weak,100,3076,5097,5110,0.002544031311154599,0.00010740000288933516,0.20550820004427806,dp
295,strong,50,824,1888,1908,0.010482180293501049,8.099997648969293e-05,0.026119999994989485,dp
296,inverse,100,4040,5409,5409,0.0,0.00011039996752515435,0.2672485000221059,dp
297,strong,50,1049,2459,2467,0.0032428050263477908,7.960002403706312e-05,0.03334309998899698,dp
298,inverse,50,808,1884,1888,0.00211864406779661,7.06000137142837e-05,0.02505689999088645,dp
299,strong,50,1996,4427,4458,0.006953790937640198,7.830001413822174e-05,0.06461760000092909,dp
300,uncorrelated,50,2369,2696,2699,0.0011115227862171174,9.099999442696571e-05,0.0768038000096567,dp
301,strong,50,535,1279,1295,0.012355212355212355,9.919999865815043e-05,0.015968199993949383,dp
302,weak,50,804,1523,1543,0.012961762799740765,6.940000457689166e-05,0.02567329996963963,dp
303,uncorrelated,50,703,1539,1539,0.0,7.90000194683671e-05,0.02109359996393323,dp
304,weak,50,360,886,906,0.02207505518763797,6.200000643730164e-05,0.010016300017014146,dp
305,weak,50,273,747,750,0.004,5.219999002292752e-05,0.007001499994657934,dp
306,uncorrelated,100,1428,3384,3388,0.0011806375442739079,7.360003655776381e-05,0.08963949995813891,dp
307,inverse,50,335,1336,1337,0.0007479431563201197,6.839999696239829e-05,0.009167600015643984,dp
308,inverse,100,1575,4668,4674,0.0012836970474967907,0.00010109995491802692,0.09933699999237433,dp
309,uncorrelated,50,1376,2249,2249,0.0,7.670000195503235e-05,0.04360620002262294,dp
310,weak,50,850,1717,1717,0.0,6.19000056758523e-05,0.026522799977101386,dp
311,uncorrelated,100,1354,3126,3136,0.0031887755102040817,9.270000737160444e-05,0.0864212000160478,dp
312,strong,50,1599,3620,3668,0.013086150490730643,7.430004188790917e-05,0.05163240002002567,dp
313,inverse,50,1061,2550,2551,0.0003920031360250882,7.209996692836285e-05,0.03311090002534911,dp
314,inverse,50,1886,2681,2681,0.0,7.149996235966682e-05,0.059990999987348914,dp
315,uncorrelated,100,451,2027,2036,0.0044204322200392925,8.639995940029621e-05,0.02630730002420023,dp
316,strong,50,1467,3294,3335,0.012293853073463269,7.829995593056083e-05,0.04681700002402067,dp
317,strong,50,597,1477,1514,0.02443857331571995,7.559999357908964e-05,0.018298199982382357,dp
318,weak,50,1797,2832,2840,0.0028169014084507044,7.06000137142837e-05,0.0562190999626182,dp
319,weak,50,2036,3331,3340,0.002694610778443114,7.400003960356116e-05,0.06413390004308894,dp
320,strong,50,530,1354,1359,0.003679175864606328,6.890000076964498e-05,0.016270600026473403,dp
321,inverse,50,914,3021,3021,0.0,7.040001219138503e-05,0.028238200000487268,dp
322,inverse,100,1481,4725,4728,0.0006345177664974619,9.469996439293027e-05,0.09358220000285655,dp
323,weak,200,7690,12230,12231,8.17594636579184e-05,0.00019099999917671084,0.9955945999827236,dp
324,uncorrelated,50,543,1408,1408,0.0,7.870001718401909e-05,0.015734400018118322,dp
325,weak,50,1630,2774,2774,0.0,7.190002361312509e-05,0.05138979997718707,dp
326,strong,50,1439,3283,3289,0.0018242626938279112,6.57000346109271e-05,0.045531800016760826,dp
327,weak,50,1928,3081,3092,0.0035575679172056922,7.43999844416976e-05,0.06133710005087778,dp
328,strong,100,2601,5978,6018,0.006646726487205052,0.0001064000534825027,0.16772269998909906,dp
329,uncorrelated,100,1860,3806,3821,0.003925673907354096,0.0001094000181183219,0.11917610000818968,dp
330,uncorrelated,200,5878,8857,8858,0.00011289230074508918,0.00018859998090192676,0.7602857999736443,dp
331,strong,50,1161,2771,2771,0.0,8.029997115954757e-05,0.03615709999576211,dp
332,uncorrelated,100,3026,4316,4318,0.0004631773969430292,9.950000094249845e-05,0.19251969998003915,dp
333,weak,200,6036,10450,10451,9.56846234810066e-05,0.00028989999555051327,0.778568199952133,dp
334,weak,50,1719,2899,2899,0.0,8.319999324157834e-05,0.05526499997358769,dp
335,strong,200,1307,3410,3423,0.0037978381536663743,0.00014839996583759785,0.16486050002276897,dp
336,uncorrelated,50,464,1169,1186,0.01433389544688027,7.760000880807638e-05,0.013528800045605749,dp
337,strong,50,1355,3029,3055,0.00851063829787234,6.829999620094895e-05,0.042257399996742606,dp
338,weak,100,2686,4823,4835,0.002481902792140641,9.82999918051064e-05,0.17581069999141619,dp
339,uncorrelated,50,268,1146,1146,0.0,7.419998291879892e-05,0.007190000033006072,dp
340,strong,100,3909,8900,8936,0.0040286481647269475,0.00011019996600225568,0.2516598000074737,dp
341,strong,50,949,2202,2209,0.003168854685377999,7.050001295283437e-05,0.029593799961730838,dp
342,strong,50,216,578,593,0.025295109612141653,7.300003198906779e-05,0.005605499958619475,dp
343,uncorrelated,100,1966,3791,3801,0.002630886608787161,9.459996363148093e-05,0.12355369998840615,dp
344,uncorrelated,200,6039,9263,9268,0.0005394907207596029,0.0001867999671958387,0.790919599996414,dp
345,uncorrelated,50,1619,2127,2127,0.0,8.379999781027436e-05,0.05130819999612868,dp
346,uncorrelated,100,3219,4643,4650,0.0015053763440860215,0.00010599999222904444,0.20631579996552318,dp
347,strong,200,4902,11377,11392,0.0013167134831460674,0.00017150002531707287,0.6393721000058576,dp
348,weak,100,2420,4432,4450,0.004044943820224719,0.0001175999641418457,0.15744420001283288,dp
349,inverse,50,965,2568,2573,0.00194325689856199,8.550001075491309e-05,0.029762799968011677,dp
350,strong,50,1015,2369,2375,0.0025263157894736842,7.98000255599618e-05,0.0312928999774158,dp
351,strong,200,8616,19199,19231,0.0016639800322396131,0.00016409996896982193,1.1253075000131503,dp
352,weak,50,906,1715,1723,0.0046430644225188625,8.109997725114226e-05,0.027752299967687577,dp
353,strong,200,4543,10671,10696,0.002337322363500374,0.00016469997353851795,0.5921450999449007,dp
354,weak,50,1961,3160,3175,0.004724409448818898,8.410000009462237e-05,0.060521500010509044,dp
355,uncorrelated,50,2137,2439,2439,0.0,5.23999915458262e-05,0.06682020000880584,dp
356,strong,100,3648,8260,8261,0.0001210507202517855,0.00011770002311095595,0.23162410000804812,dp
357,inverse,100,1475,3849,3849,0.0,0.00010619999375194311,0.09353409998584539,dp
358,inverse,50,530,1930,1930,0.0,7.910002022981644e-05,0.015487599943298846,dp
359,uncorrelated,50,2044,2469,2469,0.0,6.629998097196221e-05,0.06420790002448484,dp
360,weak,50,2126,3419,3425,0.0017518248175182481,7.910002022981644e-05,0.0688668999937363,dp
361,weak,100,1349,2803,2803,0.0,0.00010609999299049377,0.08371500001521781,dp
362,uncorrelated,50,1369,2270,2273,0.0013198416190057193,7.71000050008297e-05,0.04240889998618513,dp
363,strong,200,7169,16221,16221,0.0,0.00017010001465678215,0.9280844000168145,dp
364,weak,50,2323,3554,3567,0.0036445192038127277,8.659996092319489e-05,0.07361020002281293,dp
365,uncorrelated,50,686,1085,1089,0.0036730945821854912,7.320003351196647e-05,0.02015120000578463,dp
366,uncorrelated,50,981,2040,2040,0.0,5.500001134350896e-05,0.033283299999311566,dp
367,strong,100,2523,5953,5960,0.001174496644295302,0.00011090002954006195,0.163682299957145,dp
368,inverse,50,1581,2367,2369,0.0008442380751371887,7.959996582940221e-05,0.04872120002983138,dp
369,strong,50,2473,5419,5454,0.006417308397506418,8.47000046633184e-05,0.07690159999765456,dp
370,uncorrelated,50,1750,2245,2246,0.0004452359750667854,7.879995973780751e-05,0.05758100003004074,dp
371,uncorrelated,50,809,1468,1468,0.0,7.770000956952572e-05,0.02412190003087744,dp
372,inverse,50,1322,2702,2702,0.0,5.9699988923966885e-05,0.03979269997216761,dp
373,inverse,50,748,2253,2256,0.0013297872340425532,4.269997589290142e-05,0.021830799989402294,dp
374,strong,200,3395,8083,8102,0.002345099975314737,0.00012260000221431255,0.4386106000165455,dp
375,uncorrelated,50,2347,2380,2380,0.0,8.520000847056508e-05,0.07396650000009686,dp
376,strong,200,7831,17609,17617,0.00045410682863143557,0.00017040001694113016,1.0285344999865629,dp
377,weak,50,2073,3214,3236,0.006798516687268232,8.759996853768826e-05,0.06652250001206994,dp
378,inverse,200,6121,11286,11286,0.0,0.00022300001000985503,0.7936508000129834,dp
379,inverse,50,578,1690,1693,0.0017720023626698169,7.71000050008297e-05,0.018234599963761866,dp
380,inverse,50,630,2195,2196,0.0004553734061930783,6.390002090483904e-05,0.018932300037704408,dp
381,inverse,200,5519,10807,10809,0.0001850309926912758,0.00015799998072907329,0.7182163000106812,dp
382,weak,50,933,1747,1753,0.0034227039361095267,7.779995212331414e-05,0.028931000037118793,dp
383,uncorrelated,50,1046,2049,2049,0.0,6.67999847792089e-05,0.03187469998374581,dp
384,uncorrelated,100,3983,4872,4874,0.0004103405826836274,0.00010240002302452922,0.26093419996323064,dp
385,uncorrelated,50,1391,2334,2339,0.0021376656690893546,8.939998224377632e-05,0.04378150001866743,dp
386,uncorrelated,50,1967,2194,2194,0.0,7.589999586343765e-05,0.06317109998781234,dp
387,inverse,100,2958,5615,5615,0.0,0.00011549994815140963,0.1895786999957636,dp
388,uncorrelated,100,1449,3019,3040,0.006907894736842105,0.00010960001964122057,0.09098050004104152,dp
389,strong,50,2217,4851,4924,0.014825345247766044,8.020002860575914e-05,0.07222319999709725,dp
390,uncorrelated,200,2272,5250,5259,0.0017113519680547634,0.00017010001465678215,0.2902357999701053,dp
391,weak,50,1062,1820,1847,0.014618299945858148,7.790001109242439e-05,0.032973999972455204,dp
392,inverse,200,3993,8931,8931,0.0,0.0001656000385992229,0.519819599983748,dp
393,inverse,100,4232,5627,5627,0.0,0.00012009998317807913,0.27260889997705817,dp
394,strong,100,1309,3262,3262,0.0,0.00011470000026747584,0.08256999996956438,dp
395,inverse,50,640,2023,2025,0.0009876543209876543,7.229996845126152e-05,0.018893200031016022,dp
396,inverse,200,8819,11891,11901,0.0008402655239055541,0.0001841000048443675,1.1579339999589138,dp
397,inverse,50,692,2612,2612,0.0,7.979996735230088e-05,0.021176000009290874,dp
398,strong,50,2228,4894,4943,0.00991300829455796,7.110001752153039e-05,0.07197219994850457,dp
399,uncorrelated,100,3576,4574,4579,0.0010919414719371041,0.00011199997970834374,0.2323970000143163,dp
400,weak,100,1552,3222,3222,0.0,0.00010699999984353781,0.10054309997940436,dp
401,strong,50,504,1202,1234,0.02593192868719611,0.00014620000729337335,0.014483499980997294,dp
402,uncorrelated,100,3944,4841,4841,0.0,0.00011169997742399573,0.2568279000115581,dp
403,strong,50,830,1949,2005,0.027930174563591023,8.219998562708497e-05,0.025302499998360872,dp
404,strong,200,2361,5851,5857,0.0010244152296397474,0.00020549999317154288,0.3172882000217214,dp
405,weak,200,4120,7752,7757,0.0006445790898543251,0.00019859999883919954,0.5395367999444716,dp
406,inverse,50,429,1820,1820,0.0,8.000002708286047e-05,0.012517299968749285,dp
407,uncorrelated,50,1902,2397,2409,0.0049813200498132005,7.799995364621282e-05,0.061454600014258176,dp
408,weak,200,6342,10567,10567,0.0,0.00015440001152455807,0.8264302000170574,dp
409,inverse,200,4282,9991,10016,0.0024960063897763577,0.00018449994968250394,0.5535932999919169,dp
410,weak,100,2598,4630,4634,0.0008631851532153647,0.00010820000898092985,0.16586599999573082,dp
411,strong,100,4172,9277,9347,0.007489033914625014,0.00012400001287460327,0.26926689996616915,dp
412,weak,50,2202,3328,3387,0.017419545320342487,8.9599983766675e-05,0.06921039998997003,dp
413,strong,100,2459,5672,5696,0.004213483146067416,0.00011869997251778841,0.1549591000075452,dp
414,inverse,50,1543,3430,3430,0.0,8.339999476447701e-05,0.04891469998983666,dp
415,strong,100,4475,9888,9897,0.0009093664746892998,0.0001314000110141933,0.2936751999659464,dp
416,inverse,50,1633,2780,2780,0.0,8.659996092319489e-05,0.05326860002242029,dp
417,uncorrelated,100,3917,4437,4437,0.0,0.00012070004595443606,0.253804600040894,dp
418,uncorrelated,100,3405,4262,4266,0.0009376465072667605,0.00011939997784793377,0.22159580001607537,dp
419,uncorrelated,50,588,1451,1481,0.02025658338960162,7.670000195503235e-05,0.017811300000175834,dp
420,uncorrelated,100,3173,4444,4445,0.0002249718785151856,0.00010689999908208847,0.20612980000441894,dp
421,weak,50,480,994,1007,0.012909632571996028,7.619999814778566e-05,0.013955999980680645,dp
422,uncorrelated,50,999,1588,1596,0.005012531328320802,8.570001227781177e-05,0.031994199962355196,dp
423,uncorrelated,50,1696,2039,2056,0.008268482490272374,6.779999239370227e-05,0.05335250002099201,dp
424,inverse,50,2158,2815,2815,0.0,0.0002305000089108944,0.07005790004041046,dp
425,uncorrelated,50,864,1857,1876,0.010127931769722815,6.0699996538460255e-05,0.027572999999392778,dp
426,strong,50,2203,4791,4823,0.0066348745594028615,8.130003698170185e-05,0.07094700000016019,dp
427,inverse,50,1101,2475,2475,0.0,7.790001109242439e-05,0.03397659998154268,dp
428,inverse,100,785,3493,3504,0.003139269406392694,9.009998757392168e-05,0.04804600001079962,dp
429,weak,100,787,1997,1997,0.0,8.9599983766675e-05,0.047037400014232844,dp
430,strong,50,1089,2560,2570,0.0038910505836575876,6.379996193572879e-05,0.03378529998008162,dp
431,strong,200,5398,12353,12376,0.0018584356819650936,0.00014979997649788857,0.7147460000123829,dp
432,strong,50,1085,2523,2531,0.0031608060055314103,7.999996887519956e-05,0.033686299982946366,dp
433,uncorrelated,100,1362,2933,2940,0.002380952380952381,0.00010269996710121632,0.08424809999996796,dp
434,uncorrelated,50,2120,2577,2577,0.0,8.490000618621707e-05,0.0665090000256896,dp
435,uncorrelated,50,2084,2296,2299,0.0013049151805132667,8.650001836940646e-05,0.06514520000200719,dp
436,inverse,100,2324,5664,5664,0.0,0.00011359999189153314,0.15007289999630302,dp
437,strong,50,1943,4339,4437,0.02208699571782736,8.180004078894854e-05,0.06354339997051284,dp
438,inverse,50,500,2250,2250,0.0,0.0002837999491021037,0.014305800024885684,dp
439,weak,50,2562,3767,3770,0.0007957559681697613,5.8699981309473515e-05,0.08033289999002591,dp
440,inverse,100,3943,5651,5651,0.0,0.0001154000055976212,0.26036409998778254,dp
441,strong,50,1896,4090,4185,0.022700119474313024,8.359999628737569e-05,0.06513010000344366,dp
442,weak,100,1005,2418,2433,0.006165228113440197,0.00010619999375194311,0.0663664999883622,dp
443,weak,200,6135,10570,10585,0.0014170996693434106,0.0001642999704927206,0.8045521000167355,dp
444,strong,50,810,1969,1969,0.0,7.92999635450542e-05,0.025134299998171628,dp
445,uncorrelated,50,1855,2653,2653,0.0,8.499994874000549e-05,0.05862359999446198,dp
446,inverse,200,4033,9097,9099,0.00021980437410704473,0.00017149996710941195,0.5163842000183649,dp
447,uncorrelated,100,770,2075,2085,0.004796163069544364,9.839999256655574e-05,0.0459815000067465,dp
448,inverse,100,4164,6009,6011,0.00033272334054233906,0.00012199999764561653,0.2673656999832019,dp
449,strong,50,750,1769,1775,0.0033802816901408453,7.870001718401909e-05,0.022713499958626926,dp
450,uncorrelated,100,4298,4989,4995,0.0012012012012012011,0.00027790002059191465,0.27424910000991076,dp
451,inverse,100,2960,5286,5290,0.0007561436672967864,0.00011319998884573579,0.1958022000035271,dp
452,weak,50,761,1528,1528,0.0,7.950002327561378e-05,0.022607200022321194,dp
453,weak,200,4045,8002,8007,0.0006244536030972898,0.00014409999130293727,0.5375928999856114,dp
454,weak,100,934,1944,1953,0.004608294930875576,0.00010219996329396963,0.05828429997200146,dp
455,strong,50,1128,2638,2658,0.007524454477050414,8.249998791143298e-05,0.03665780002484098,dp
456,inverse,200,7620,11398,11402,0.00035081564637782847,0.00031070003751665354,0.9970677000237629,dp
457,strong,50,426,1036,1062,0.02448210922787194,8.189998334273696e-05,0.01202329999068752,dp
458,weak,50,334,882,882,0.0,4.150002496317029e-05,0.008983700012322515,dp
459,weak,100,545,1369,1374,0.00363901018922853,6.940000457689166e-05,0.031008900026790798,dp
460,weak,200,6407,10713,10718,0.0004665049449524165,0.00015330000314861536,0.8487715999945067,dp
461,weak,50,1994,3091,3111,0.006428801028608165,8.550001075491309e-05,0.06355279998388141,dp
462,uncorrelated,50,834,1911,1914,0.001567398119122257,7.939996430650353e-05,0.026356999995186925,dp
463,strong,200,7341,16463,16472,0.0005463817387081107,0.00018199998885393143,0.9662318999762647,dp
464,strong,200,8528,18980,18990,0.000526592943654555,0.00019999995129182935,1.100908900029026,dp
465,uncorrelated,100,3282,4494,4502,0.001776988005330964,0.00011779996566474438,0.21399030002066866,dp
466,uncorrelated,200,3135,6334,6339,0.0007887679444707368,0.0001626999583095312,0.410685500013642,dp
467,strong,50,374,964,971,0.007209062821833162,7.449998520314693e-05,0.010304399998858571,dp
468,weak,200,7518,12322,12322,0.0,0.0001762000028975308,1.0033645000075921,dp
469,uncorrelated,200,2223,5554,5558,0.0007196833393306944,0.00014780001947656274,0.2872601999551989,dp
470,strong,50,1973,4416,4459,0.009643417806683112,8.600001456215978e-05,0.06275270000332966,dp
471,inverse,50,1957,2712,2712,0.0,9.099999442696571e-05,0.0615191999822855,dp
472,weak,50,915,1726,1726,0.0,7.539999205619097e-05,0.028290099988225847,dp
473,strong,50,1559,3549,3566,0.0047672462142456535,8.279999019578099e-05,0.048986799956765026,dp
474,uncorrelated,50,1045,1801,1807,0.003320420586607637,7.84999574534595e-05,0.032593199983239174,dp
475,inverse,100,1056,3738,3744,0.0016025641025641025,9.709998266771436e-05,0.06399300001794472,dp
476,weak,100,3601,5897,5903,0.001016432322547857,0.00011099997209385037,0.2333385000238195,dp
477,weak,50,315,814,821,0.008526187576126675,7.370003731921315e-05,0.00967489997856319,dp
478,inverse,50,1417,3175,3177,0.0006295247088448222,0.00010549998842179775,0.0492206999915652,dp
479,strong,50,876,2064,2103,0.018544935805991442,0.00015170004917308688,0.029642699984833598,dp
480,weak,100,2872,5023,5035,0.0023833167825223437,0.00011339999036863446,0.18891959998290986,dp
481,weak,100,4027,6309,6313,0.0006336131791541264,0.00012179999612271786,0.26581529999384657,dp
482,uncorrelated,100,1782,3592,3615,0.00636237897648686,0.00011000002268701792,0.11955900001339614,dp
483,inverse,50,882,2202,2202,0.0,7.98000255599618e-05,0.027170500019565225,dp
484,uncorrelated,50,1000,1961,1961,0.0,5.8999983593821526e-05,0.03145489998860285,dp
485,strong,50,517,1267,1287,0.01554001554001554,6.379996193572879e-05,0.01525609998498112,dp
486,weak,50,1300,2280,2280,0.0,6.009999196976423e-05,0.0402905999799259,dp
487,weak,200,1689,4167,4175,0.0019161676646706587,0.00014460005331784487,0.21598800003994256,dp
488,inverse,50,2127,2816,2816,0.0,8.379999781027436e-05,0.0685440999804996,dp
489,weak,50,2134,3384,3394,0.0029463759575721863,8.880003588274121e-05,0.07422690000385046,dp
490,inverse,50,1224,2402,2402,0.0,8.209998486563563e-05,0.03816019999794662,dp
491,inverse,200,2406,8698,8711,0.0014923659740557916,0.00016389996744692326,0.30777220003074035,dp
492,weak,100,924,2144,2151,0.0032543003254300326,0.00010200001997873187,0.0580704000312835,dp
493,weak,50,1252,2324,2362,0.016088060965283656,8.139997953549027e-05,0.04119289998197928,dp
494,inverse,100,4203,5922,5922,0.0,0.0001243999577127397,0.2702030999935232,dp
495,inverse,200,5137,10673,10673,0.0,0.00018149998504668474,0.6749414000078104,dp
496,uncorrelated,50,625,1259,1259,0.0,8.000002708286047e-05,0.01938100002007559,dp
497,inverse,100,1465,3555,3562,0.0019651880965749578,9.819999104365706e-05,0.09425399999599904,dp
498,inverse,50,545,1812,1812,0.0,7.619999814778566e-05,0.01604449999285862,dp
499,weak,50,665,1401,1422,0.014767932489451477,7.479998748749495e-05,0.020625999954063445,dp
